investigating_agency,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,between_street_number_1,between_street_name_1,between_street_number_2,between_street_name_2,units_involved,motor_vehicles_involved,weather,roadway_condition,hit_and_run_indicator,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision_indicator,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
LOUISVILLE METRO POLICE DEPT,US0031E,,MARKET,ST,E,17.576,,,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-04-25 09:34:00-04:00,38.2545461,-85.750373,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,1784,GAULBERT,AVE,W,0.623,,,,,,,2,1,CLOUDY,WET,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-02 18:40:00-04:00,38.227533333,-85.789733333,False,False,MONDAY
LOUISVILLE METRO POLICE DEPT,US0150,,BROADWAY,,W,2.56,KY1020,2ND,,,,,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-03 15:40:00-04:00,38.2458371,-85.7550449,True,False,TUESDAY
LOUISVILLE METRO POLICE DEPT,,,HOERTZ,AVE,,0.114,,,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-04 13:30:00-04:00,38.2265882,-85.737744,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,DIXIE,HWY,,1.494,,HILL,,,,,2,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-09 16:25:00-04:00,38.2283671,-85.7905463,True,False,MONDAY
LOUISVILLE METRO POLICE DEPT,,,DURRETT,LN,,0.001,KY0061,PRESTON,,,,,2,1,CLOUDY,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-11 05:46:00-04:00,38.1863365,-85.7241763,True,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,34TH,ST,S,0.312,,LARKWOOD,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-11 14:21:00-04:00,38.2577575,-85.8075609,False,False,WEDNESDAY
LOUISVILLE METRO POLICE DEPT,,,ZORN,AVE,,1.749,,RIVER,,,,,2,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-24 00:00:00-04:00,38.2774136,-85.6991552,True,False,TUESDAY
SHIVELY POLICE DEPARTMENT,KY1931,3200,7TH STREET,RD,,9.146,,,,,,,2,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2016-05-28 22:13:00-04:00,38.2038077,-85.7911266,True,False,SATURDAY
LOUISVILLE METRO POLICE DEPT,,,MAHONEY,DR,,0.003,,JOHNSONTOWN,,,,,2,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-05-31 17:32:00-04:00,38.1214351,-85.8616031,False,False,TUESDAY
SHIVELY POLICE DEPARTMENT,US0031W,,DIXIE,HWY,,15.658,,,,MATHEIS,,MATHEIS,2,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-06-03 16:26:00-04:00,38.1960878,-85.8054222,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,US0031W,5244,DIXIE,HWY,,12.761,,,,,,,2,1,CLOUDY,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-06-03 16:30:00-04:00,38.1604939,-85.832605,True,False,FRIDAY
LOUISVILLE METRO POLICE DEPT,,,30TH,ST,S,0.841,,,,SOUTHERN,,YOUNG,2,1,RAINING,WET,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2016-06-04 19:05:00-04:00,38.2316607,-85.805915,False,False,SATURDAY
