longitude,latitude,OBJECTID,main_street,cross_street,route_number,milepoint,owner,type
-85.4422613565056,38.1196233635129,258,DRY RIDGE,NAPIER,,,METRO,1
-85.5160247855651,38.1877609192479,259,STONE LAKES,TAYLORSVILLE,KY-155,6.45,KYTC,1
-85.5822138751519,38.1395204093959,260,BARDSTOWN,I 265 RAMP,US-31E,7.77,KYTC,1
-85.6268561397661,38.1812120057949,261,BARDSTOWN,BRECKENRIDGE,US-31E,8.69,KYTC,1
-85.6598575835744,38.1643998956178,262,RANGELAND,SHEPHERDSVILLE,KY-2052,1.78,KYTC,1
-85.6258181265124,38.1898821403246,263,REDDING,MEADOW RIDGE,KY-1932,0.6,KYTC,1
-85.5872554780658,38.1499454991423,264,BARDSTOWN,BEULAH CHURCH,US-31E,5.5,KYTC,1
-85.6418979816959,38.1379584388873,265,OUTER LOOP,SMYRNA PKWY,KY-1065,8.52,KYTC,1
-85.6066884156386,38.1834980350759,266,WATTERSON,HURSTBOURNE,KY-1747,8.52,KYTC,1
-85.6877139762741,38.2014784308818,267,NEWBURG,I 264 RAMP,KY-1703,2.2,KYTC,1
-85.6825356395875,38.2896610694078,268,INDIAN HILLS,RIVER,,,METRO,1
-85.7774516805209,38.2620064963542,269,BANK,17TH,,,METRO,1
-85.79357098592,38.2607379241834,270,MAIN,26TH,,,METRO,1
-85.7937372956105,38.259508433609,271,MARKET,26TH,,,METRO,1
-85.7849114927686,38.2583584914192,272,MARKET,DR W J HODGE,US 31W,20.401,KYTC,1
-85.7868141950062,38.2571475447126,273,JEFFERSON,22ND,US-31W,20.112,KYTC,1
-85.7872922175691,38.2544316031197,274,22ND,MUHAMMAD ALI,US-31W,19.923,KYTC,1
-85.7773527114803,38.2533268208719,275,16TH,MUHAMMAD ALI,,,METRO,1
-85.8082040399934,38.2498845191412,276,BROADWAY,LOUIS COLEMAN JR,,,METRO,1
-85.8057456865795,38.2498235722718,277,BROADWAY,32ND,,,METRO,1
-85.7798546120352,38.2487137922036,278,BROADWAY,17TH,US 150,1.192,KYTC,1
-85.778212091557,38.2484850327365,279,BROADWAY,16TH,US 150,1.283,KYTC,1
-85.7699438129221,38.2473356077927,280,BROADWAY,11TH,US 150,1.72,KYTC,1
-85.7620258640312,38.2445582994401,281,6TH,YORK,,,METRO,1
-85.7554066664285,38.2438236788525,282,2ND,YORK,KY-1020,11.996,KYTC,1
-85.7886095592434,38.2373111042064,283,OAK,DR W J HODGE,US-31W,18.83,KYTC,1
-85.7565944730915,38.2370605133843,284,ST CATHERINE,2ND,KY-1020,11.507,KYTC,1
-85.7830200715731,38.2360179521276,285,DUMESNIL,17TH,,,METRO,1
-85.7586713611574,38.2348733275766,286,OAK,3RD,KY-1020,11.316,KYTC,1
-85.7536788293809,38.2344181476092,287,BROOK,OAK,,,METRO,1
